REGION;COMUNA;Destino;TipoVehiculo;Catalitico;NoCatalitico
2;2202;3.0;1.0;1.0;0.0
2;2202;3.0;2.0;0.0;0.0
2;2202;3.0;3.0;0.0;0.0
2;2202;3.0;4.0;0.0;0.0
2;2202;3.0;5.0;0.0;0.0
2;2202;3.0;6.0;0.0;0.0
2;2202;3.0;7.0;0.0;0.0
2;2203;1.0;1.0;545.0;16.0
2;2203;1.0;2.0;497.0;8.0
2;2203;1.0;3.0;48.0;5.0
2;2203;1.0;4.0;53.0;2.0
2;2203;1.0;5.0;0.0;2.0
2;2203;1.0;6.0;35.0;0.0
2;2203;1.0;7.0;1344.0;40.0
2;2203;1.0;8.0;62.0;0.0
2;2203;1.0;9.0;0.0;0.0
2;2203;2.0;1.0;6.0;0.0
2;2203;2.0;2.0;0.0;0.0
2;2203;2.0;3.0;0.0;0.0
2;2203;2.0;4.0;237.0;0.0
2;2203;2.0;5.0;1.0;0.0
2;2203;2.0;6.0;0.0;0.0
2;2203;2.0;7.0;120.0;1.0
2;2203;2.0;8.0;14.0;1.0
2;2203;2.0;9.0;0.0;0.0
2;2203;3.0;1.0;50.0;7.0
2;2203;3.0;2.0;3.0;0.0
2;2203;3.0;3.0;0.0;0.0
2;2203;3.0;4.0;0.0;0.0
2;2203;3.0;5.0;2.0;0.0
2;2203;3.0;6.0;11.0;1.0
2;2203;3.0;7.0;0.0;0.0
2;2301;1.0;1.0;1820.0;60.0
2;2301;1.0;2.0;754.0;17.0
2;2301;1.0;3.0;115.0;23.0
2;2301;1.0;4.0;81.0;9.0
2;2301;1.0;5.0;5.0;2.0
2;2301;1.0;6.0;31.0;1.0
2;2301;1.0;7.0;969.0;68.0
2;2301;1.0;8.0;49.0;2.0
2;2301;1.0;9.0;0.0;0.0
2;2301;2.0;1.0;88.0;0.0
2;2301;2.0;2.0;248.0;0.0
2;2301;2.0;3.0;11.0;0.0
2;2301;2.0;4.0;20.0;0.0
2;2301;2.0;5.0;14.0;0.0
2;2301;2.0;6.0;0.0;0.0
2;2301;2.0;7.0;38.0;1.0
2;2301;2.0;8.0;4.0;3.0
2;2301;2.0;9.0;0.0;0.0
2;2301;3.0;1.0;165.0;17.0
2;2301;3.0;2.0;51.0;2.0
2;2301;3.0;3.0;4.0;0.0
2;2301;3.0;4.0;0.0;0.0
2;2301;3.0;5.0;0.0;0.0
2;2301;3.0;6.0;18.0;0.0
2;2301;3.0;7.0;0.0;0.0
2;2302;1.0;1.0;464.0;12.0
2;2302;1.0;2.0;275.0;5.0
2;2302;1.0;3.0;12.0;3.0
2;2302;1.0;4.0;30.0;1.0
2;2302;1.0;5.0;0.0;0.0
2;2302;1.0;6.0;13.0;0.0
2;2302;1.0;7.0;918.0;15.0
2;2302;1.0;8.0;19.0;0.0
2;2302;1.0;9.0;0.0;0.0
2;2302;2.0;1.0;22.0;0.0
2;2302;2.0;2.0;0.0;0.0
2;2302;2.0;3.0;1.0;0.0
2;2302;2.0;4.0;43.0;0.0
2;2302;2.0;5.0;2.0;0.0
2;2302;2.0;6.0;0.0;0.0
2;2302;2.0;7.0;30.0;1.0
2;2302;2.0;8.0;2.0;0.0
2;2302;2.0;9.0;0.0;0.0
2;2302;3.0;1.0;122.0;0.0
2;2302;3.0;2.0;124.0;0.0
2;2302;3.0;3.0;0.0;0.0
2;2302;3.0;4.0;0.0;0.0
2;2302;3.0;5.0;0.0;0.0
2;2302;3.0;6.0;19.0;0.0
2;2302;3.0;7.0;0.0;0.0
3;3101;1.0;1.0;17325.0;521.0
3;3101;1.0;2.0;9503.0;122.0
3;3101;1.0;3.0;1037.0;166.0
3;3101;1.0;4.0;915.0;37.0
3;3101;1.0;5.0;26.0;10.0
3;3101;1.0;6.0;206.0;4.0
3;3101;1.0;7.0;9144.0;466.0
3;3101;1.0;8.0;1338.0;20.0
3;3101;1.0;9.0;0.0;0.0
3;3101;2.0;1.0;83.0;0.0
3;3101;2.0;2.0;1565.0;0.0
3;3101;2.0;3.0;50.0;0.0
3;3101;2.0;4.0;363.0;0.0
3;3101;2.0;5.0;101.0;0.0
3;3101;2.0;6.0;4.0;0.0
3;3101;2.0;7.0;463.0;5.0
3;3101;2.0;8.0;34.0;0.0
3;3101;2.0;9.0;0.0;0.0
3;3101;3.0;1.0;1569.0;75.0
3;3101;3.0;2.0;391.0;6.0
3;3101;3.0;3.0;7.0;0.0
3;3101;3.0;4.0;0.0;0.0
3;3101;3.0;5.0;37.0;0.0
3;3101;3.0;6.0;293.0;5.0
3;3101;3.0;7.0;0.0;0.0
3;3102;1.0;1.0;1747.0;74.0
3;3102;1.0;2.0;1021.0;21.0
3;3102;1.0;3.0;145.0;38.0
3;3102;1.0;4.0;229.0;10.0
3;3102;1.0;5.0;4.0;3.0
3;3102;1.0;6.0;75.0;1.0
3;3102;1.0;7.0;1775.0;97.0
3;3102;1.0;8.0;128.0;3.0
3;3102;1.0;9.0;0.0;0.0
3;3102;2.0;1.0;6.0;0.0
3;3102;2.0;2.0;164.0;0.0
3;3102;2.0;3.0;8.0;0.0
3;3102;2.0;4.0;20.0;0.0
3;3102;2.0;5.0;3.0;0.0
3;3102;2.0;6.0;0.0;0.0
3;3102;2.0;7.0;29.0;0.0
3;3102;2.0;8.0;6.0;1.0
3;3102;2.0;9.0;0.0;0.0
3;3102;3.0;1.0;187.0;14.0
3;3102;3.0;2.0;79.0;1.0
3;3102;3.0;3.0;0.0;0.0
3;3102;3.0;4.0;0.0;0.0
3;3102;3.0;5.0;1.0;0.0
3;3102;3.0;6.0;19.0;1.0
3;3102;3.0;7.0;0.0;0.0
3;3103;1.0;1.0;3955.0;210.0
3;3103;1.0;2.0;1710.0;44.0
3;3103;1.0;3.0;232.0;55.0
3;3103;1.0;4.0;669.0;19.0
3;3103;1.0;5.0;6.0;3.0
3;3103;1.0;6.0;254.0;2.0
3;3103;1.0;7.0;3964.0;156.0
3;3103;1.0;8.0;188.0;37.0
3;3103;1.0;9.0;0.0;0.0
3;3103;2.0;1.0;1.0;0.0
3;3103;2.0;2.0;134.0;0.0
3;3103;2.0;3.0;1.0;0.0
3;3103;2.0;4.0;9.0;0.0
3;3103;2.0;5.0;11.0;0.0
3;3103;2.0;6.0;0.0;0.0
3;3103;2.0;7.0;501.0;14.0
3;3103;2.0;8.0;0.0;0.0
3;3103;2.0;9.0;0.0;0.0
3;3103;3.0;1.0;946.0;101.0
3;3103;3.0;2.0;392.0;34.0
3;3103;3.0;3.0;0.0;1.0
3;3103;3.0;4.0;0.0;0.0
3;3103;3.0;5.0;70.0;4.0
3;3103;3.0;6.0;198.0;3.0
3;3103;3.0;7.0;0.0;0.0
3;3201;1.0;1.0;1301.0;84.0
3;3201;1.0;2.0;557.0;17.0
3;3201;1.0;3.0;77.0;23.0
3;3201;1.0;4.0;101.0;4.0
3;3201;1.0;5.0;5.0;1.0
3;3201;1.0;6.0;38.0;0.0
3;3201;1.0;7.0;1178.0;83.0
3;3201;1.0;8.0;71.0;4.0
3;3201;1.0;9.0;0.0;0.0
3;3201;2.0;1.0;9.0;0.0
3;3201;2.0;2.0;90.0;0.0
3;3201;2.0;3.0;8.0;0.0
3;3201;2.0;4.0;61.0;0.0
3;3201;2.0;5.0;5.0;0.0
3;3201;2.0;6.0;0.0;0.0
3;3201;2.0;7.0;600.0;0.0
3;3201;2.0;8.0;0.0;0.0
3;3201;2.0;9.0;0.0;0.0
3;3201;3.0;1.0;400.0;11.0
3;3201;3.0;2.0;150.0;3.0
3;3201;3.0;3.0;0.0;0.0
3;3201;3.0;4.0;0.0;0.0
3;3201;3.0;5.0;0.0;0.0
3;3201;3.0;6.0;105.0;4.0
3;3201;3.0;7.0;0.0;0.0
3;3202;1.0;1.0;1276.0;41.0
3;3202;1.0;2.0;814.0;6.0
3;3202;1.0;3.0;60.0;8.0
3;3202;1.0;4.0;52.0;3.0
3;3202;1.0;5.0;0.0;0.0
3;3202;1.0;6.0;41.0;2.0
3;3202;1.0;7.0;706.0;31.0
3;3202;1.0;8.0;51.0;2.0
3;3202;1.0;9.0;0.0;0.0
3;3202;2.0;1.0;100.0;0.0
3;3202;2.0;2.0;21.0;0.0
3;3202;2.0;3.0;5.0;0.0
3;3202;2.0;4.0;5.0;0.0
