Total;Mujeres;Hombres;Region;Comuna;Jornada
20;7;13;13;13107;5
2;1;1;13;13107;5
11;8;3;13;13107;5
27;12;15;13;13123;5
7;1;6;13;13114;5
25;7;18;13;13114;5
2;1;1;9;9101;5
14;8;6;9;9101;5
17;9;8;9;9101;5
27;10;17;9;9101;5
19;17;2;9;9101;5
19;6;13;9;9101;5
32;8;24;13;13107;5
13;5;8;13;13107;5
22;8;14;13;13107;5
8;3;5;13;13123;5
28;16;12;13;13114;5
70;57;13;13;13101;5
1;1;;9;9101;5
32;27;5;13;13107;5
12;8;4;13;13114;5
11;11;;13;13101;1
14;13;1;13;13101;1
28;25;3;13;13107;5
4;4;;9;9101;5
3;1;2;13;13101;5
2;2;;9;9101;3
1;1;;13;13114;5
21;7;14;13;13114;2
3;1;2;13;13114;5
20;16;4;9;9101;5
2;2;;13;13101;5
19;16;3;13;13107;3
3;2;1;13;13107;5
32;18;14;13;13107;5
8;5;3;13;13107;5
11;3;8;9;9101;1
2;1;1;13;13101;1
1;;1;13;13101;1
198;149;49;13;13101;1
16;5;11;13;13107;1
457;390;67;13;13107;1
372;291;81;9;9101;1
9;4;5;13;13107;1
19;14;5;13;13101;1
9;2;7;13;13107;2
16;13;3;13;13101;1
14;9;5;13;13107;2
17;9;8;13;13107;2
12;3;9;13;13107;1
8;4;4;13;13107;5
9;5;4;13;13107;1
5;2;3;13;13107;5
3;2;1;13;13107;1
1;;1;13;13107;5
7;;7;13;13101;1
12;7;5;9;9101;1
8;7;1;13;13101;1
6;6;;9;9101;1
22;14;8;13;13101;5
35;18;17;13;13101;2
422;395;27;13;13101;1
152;129;23;9;9101;1
224;88;136;13;13123;1
20;1;19;13;13123;1
76;9;67;13;13123;1
1;;1;13;13123;2
3;;3;13;13123;2
152;8;144;13;13123;1
11;1;10;13;13123;1
10;;10;9;9101;1
38;3;35;13;13123;2
516;148;368;13;13123;1
34;7;27;13;13123;1
24;5;19;9;9101;1
114;31;83;9;9101;1
16;5;11;13;13123;2
80;22;58;13;13123;2
138;22;116;13;13123;2
715;300;415;13;13123;1
234;95;139;9;9101;1
75;21;54;13;13101;1
2;;2;13;13123;2
371;146;225;13;13123;2
49;3;46;13;13123;2
279;142;137;13;13123;1
347;176;171;13;13123;3
444;230;214;13;13123;2
3;;3;9;9101;1
167;33;134;9;9101;1
69;8;61;13;13123;2
22;5;17;13;13101;3
33;13;20;13;13107;1
65;21;44;13;13101;4
2;;2;13;13107;1
72;36;36;13;13107;1
1;;1;13;13123;1
211;53;158;13;13123;2
1;;1;13;13123;2
5;4;1;13;13114;1
18;10;8;13;13114;1
3;1;2;13;13114;1
16;4;12;13;13114;1
1;;1;13;13114;1
4;1;3;13;13114;1
7;3;4;13;13114;1
16;2;14;13;13114;1
9;5;4;13;13114;1
4;1;3;13;13114;1
41;16;25;13;13114;1
4;1;3;13;13114;1
6;;6;13;13114;1
3;;3;13;13114;1
4;1;3;13;13114;1
45;22;23;13;13114;1
10;3;7;13;13114;1
385;172;213;13;13107;1
141;69;72;9;9101;1
1;1;;13;13107;5
40;24;16;13;13101;5
27;22;5;9;9101;5
9;1;8;13;13114;5
48;12;36;13;13123;2
1;;1;13;13123;5
13;1;12;13;13107;5
25;11;14;9;9101;5
15;8;7;13;13123;5
50;18;32;13;13101;5
18;5;13;13;13101;5
3;2;1;13;13123;5
28;9;19;13;13123;5
3;1;2;13;13123;5
27;7;20;13;13123;5
1;;1;13;13114;5
24;6;18;13;13107;5
13;4;9;13;13107;5
59;51;8;13;13123;2
5;1;4;13;13101;5
1;;1;13;13114;5
2;;2;13;13123;5
5;1;4;13;13101;4
6;3;3;13;13107;5
2;1;1;9;9101;5
4;3;1;13;13101;4
8;5;3;13;13101;4
1;;1;13;13114;5
82;58;24;13;13123;2
53;39;14;9;9101;2
267;203;64;13;13123;5
137;108;29;9;9101;5
34;17;17;9;9101;5
2;2;;13;13123;5
63;27;36;9;9101;5
8;5;3;9;9101;5
1;1;;9;9101;5
70;27;43;13;13123;5
54;34;20;13;13114;5
59;13;46;9;9101;5
171;44;127;13;13114;5
15;3;12;13;13114;5
24;11;13;9;9101;5
35;21;14;13;13114;5
14;1;13;13;13123;5
10;1;9;13;13114;5
24;8;16;13;13114;5
9;9;;9;9101;5
32;22;10;13;13123;5
8;3;5;9;9101;5
133;125;8;13;13123;5
18;17;1;9;9101;5
30;21;9;13;13123;5
9;8;1;9;9101;5
21;16;5;13;13107;5
86;11;75;13;13123;2
30;23;7;13;13107;5
10;1;9;13;13114;5
40;13;27;13;13107;5
78;56;22;9;9101;5
1;1;;13;13107;5
10;9;1;9;9101;5
4;;4;9;9101;5
59;48;11;13;13107;1
15;10;5;13;13123;3
34;21;13;13;13123;5
124;91;33;9;9101;5
3;2;1;9;9101;5
15;2;13;9;9101;5
64;29;35;13;13107;5
3;3;;13;13107;5
69;10;59;13;13107;5
31;13;18;13;13107;5
93;63;30;13;13123;2
113;90;23;9;9101;5
88;66;22;13;13123;5
29;18;11;9;9101;5
41;36;5;13;13107;5
1;1;;9;9101;2
1;1;;9;9101;5
74;37;37;13;13123;5
51;21;30;9;9101;5
122;38;84;13;13114;5
75;19;56;13;13123;5
1;1;;13;13107;5
15;12;3;13;13107;5
21;14;7;13;13107;5
20;11;9;13;13101;1
9;8;1;9;9101;2
3;1;2;13;13107;5
8;7;1;9;9101;5
11;8;3;13;13107;5
22;18;4;9;9101;5
42;30;12;13;13101;5
39;28;11;9;9101;3
1;1;;13;13101;5
1;;1;13;13114;5
20;10;10;13;13114;5
5;5;;13;13107;5
1;;1;13;13101;5
361;198;163;9;9101;1
506;243;263;13;13107;1
141;85;56;9;9101;1
819;649;170;13;13107;1
1;;1;13;13107;1
440;388;52;13;13107;1
143;124;19;9;9101;1
409;391;18;13;13107;1
220;206;14;9;9101;1
691;432;259;13;13101;1
310;201;109;9;9101;1
166;59;107;13;13123;1
206;203;3;13;13123;1
3;2;1;9;9101;1
486;145;341;13;13123;1
127;127;;13;13123;1
286;203;83;13;13123;1
69;35;34;13;13101;1
60;28;32;13;13107;1
3;3;;13;13101;5
2;2;;13;13101;5
55;46;9;13;13107;2
16;16;;13;13107;5
8;2;6;13;13114;1
210;142;68;13;13107;1
201;134;67;13;13101;1
267;185;82;9;9101;1
135;128;7;13;13123;1
6;5;1;13;13123;1
58;24;34;13;13101;2
15;3;12;13;13101;2
177;112;65;13;13101;1
209;113;96;9;9101;1
450;266;184;13;13107;1
475;425;50;13;13107;1
187;158;29;9;9101;1
73;38;35;13;13123;1
89;53;36;13;13123;2
194;102;92;13;13123;1
58;31;27;13;13123;1
34;12;22;13;13101;1
67;18;49;13;13101;1
176;143;33;13;13101;1
154;83;71;13;13123;1
144;73;71;13;13123;2
1;;1;13;13123;2
1;;1;13;13123;2
4;4;;13;13123;2
27;16;11;13;13123;2
2;2;;13;13123;2
33;17;16;13;13123;2
2;1;1;13;13123;2
8;7;1;13;13123;2
22;15;7;13;13123;2
15;12;3;13;13123;2
14;14;;13;13123;2
32;18;14;13;13123;2
8;5;3;13;13123;2
55;27;28;13;13123;1
7;2;5;13;13123;2
1;;1;13;13123;1
28;9;19;13;13123;2
79;27;52;13;13123;1
39;17;22;13;13123;2
8;1;7;13;13101;1
16;8;8;13;13123;2
1;1;;13;13123;2
2;2;;13;13123;2
29;20;9;13;13123;2
5;1;4;13;13123;2
34;16;18;13;13123;2
5;3;2;13;13123;2
4;1;3;13;13123;2
